Prompt_ID,Date,AI_Tool,Category,Prompt_Length,Response_Time,Rating,Success,Time_Spent
1,2026-10-08,Copilot,Web Development,81,3.52,5,Yes,42
2,2026-08-02,Claude,Data Science,368,3.78,2,No,37
3,2026-09-06,Copilot,Data Science,396,2.82,5,Yes,41
4,2026-08-02,Gemini,Web Development,173,3.51,2,Yes,31
5,2026-07-14,Gemini,SQL,98,3.34,5,Yes,59
6,2026-07-21,Claude,Data Science,128,4.6,3,Yes,37
7,2026-08-17,ChatGPT,Python,54,1.18,3,Yes,8
8,2026-07-20,Gemini,Python,82,2.12,3,Yes,26
9,2026-07-08,Perplexity,NLP,180,4.8,3,Yes,6
10,2026-07-07,Gemini,Machine Learning,173,4.56,1,Yes,14
11,2026-09-05,Gemini,Data Science,86,2.82,3,Yes,9
12,2026-07-17,ChatGPT,SQL,68,3.48,4,Yes,14
13,2026-08-02,Copilot,Web Development,138,2.11,4,Yes,37
14,2026-08-17,Gemini,Web Development,210,1.75,1,Yes,58
15,2026-09-14,Claude,SQL,71,2.85,3,Yes,42
16,2026-08-28,Copilot,Computer Vision,215,2.41,3,No,17
17,2026-09-24,Perplexity,Deep Learning,252,3.33,3,Yes,35
18,2026-07-22,ChatGPT,Machine Learning,151,1.31,5,Yes,51
19,2026-07-30,Perplexity,Web Development,162,4.9,2,No,40
20,2026-08-07,Copilot,Data Science,192,4.94,5,Yes,49
21,2026-08-20,Copilot,Machine Learning,244,3.79,2,Yes,28
22,2026-08-23,Copilot,Data Science,250,3.14,3,Yes,56
23,2026-07-08,Perplexity,Computer Vision,264,2.24,3,Yes,19
24,2026-07-27,Copilot,Python,360,4.26,5,Yes,33
25,2026-07-27,Perplexity,Machine Learning,175,3.74,5,No,12
26,2026-10-06,Copilot,NLP,268,1.65,2,Yes,9
27,2026-07-21,Claude,Web Development,105,4.64,4,Yes,33
28,2026-07-30,Copilot,Machine Learning,38,4.29,2,Yes,51
29,2026-10-05,Perplexity,Machine Learning,103,4.8,5,Yes,8
30,2026-07-28,Gemini,Machine Learning,282,3.9,5,Yes,16
31,2026-09-02,Copilot,Deep Learning,259,3.45,1,Yes,49
